พระสุตตันตปิฎก~~0001
ขุททกนิกาย  ชาดก~~0001
เล่มที่  ๓   ภาคที่  ๕~~0001
ฉักกนิบาตชาดก~~0001
๑.  อาวาริยวรรค~~0001
๑.  อาวาริยชาดก~~0001
ว่าด้วยการกระทำที่ไม่เจริญด้วยโภคะ~~0001
อรรถกถาอาวาริยชาดกที่  ๑~~0003
๒.  เสตเกตุชาดก~~0013
ว่าด้วยคนที่ได้ชื่อว่าเป็นทิศ~~0013
อรรถกถาเสตเกตุชาดกที่  ๒~~0014
๓.  ทรีมุขชาดก~~0025
ว่าด้วยโทษของกาม~~0025
อรรถกถาทรีมุขชาดกที่  ๓~~0027
๔.   เนรุชาดก~~0045
ว่าด้วยอานุภาพของเนรุบรรพต~~0045
อรรถกถาเนรุชาดกที่  ๔~~0046
๕.  อาสังกชาดก~~0051
ว่าด้วยเรื่องความหวัง~~0051
อรรถกาอาสังกชาดกที่  ๕~~0052
๖.  มิคาโลปชาดก~~0065
ว่าด้วยโทษของคนหัวดื้อ~~0065
อรรถกถามิคาโลปชาดกที่  ๖~~0066
๗.  สิริกาลกรรณิชาดก~~0070
ว่าด้วย  สิริ   กับ  กาลกรรณี~~0070
อรรถกถาสิริกาลกรรณิชาดกที่  ๗~~0074
๘.   กุกกุฏชาดก~~0090
ว่าด้วยผลของการไม่เชื่อง่าย~~0090
อรรถกถากุกกุฏชาดกที่  ๘~~0091
๙.  ธัมมัทธชชาดก~~0097
ว่าด้วยพูดอย่างหนึ่งทำอย่างหนึ่ง~~0097
อรรถกถาธัมมัทธชาดกที่  ๙~~0098
๑๐. นันทิยมิคราชชาดก~~0104
ว่าด้วยพระยาเนื้อนันทิยะ~~0104
อรรถกถานันทิยมิคราชชาดกที่  ๑๐~~0105
๒.  ขุรปุตตวรรค~~0114
๑. ขุรปุตตชาดก~~0114
ว่าด้วยทำตนให้ไร้ประโยชน์~~0114
อรรถกถาขุรปุตตชาดกที่  ๑~~0115
๒.  สูจิชาดก~~0127
ว่าด้วยเห็น~~0127
อรรถกถาสูจิชาดกที่  ๒~~0128
๓. ตุณฑิลชาดก~~0136
ว่าด้วยธรรมเหมือนน้ำ  บาปธรรมเหมือนเหงื่อไคล~~0136
อรรถกถาตุณฑิลชาดกที่  ๓~~0137
๔.  สุวรรณกักกฏกชาดก~~0150
ว่าด้วยปูตัวฉลาด~~0150
อรรถกถาสุวรรณกักกฏกชาดกที่  ๔~~0152
๕.  มัยหกสกุณชาดก~~0161
ว่าด้วยการใช้ทรัพย์ให้เป็นประโยชน์~~0161
อรรถกถามัยหกสกุณชาดกที่  ๕~~0162
๖.  ปัพพชิตวิเหฐกชาดก~~0170
ว่าด้วยกราบไหว้ผู้ควรกราบไหว้~~0170
อรรถกถาปัพพชิตวิเหฐกชาดกที่  ๖~~0172
๗.  อุปนิสงฆบุปผชาดก~~0180
ว่าด้วยคนดีไม่ควรทำชั่ว  แม้นิดหน่อย~~0180
อรรถกถาอุปสิงฆบุปผชาดกที่ ๗~~0181
๘.  วิฆาสาทชาดก~~0187
ว่าด้วยการกินของที่เป็นเดน~~0187
อรรถกถาวิฆาสาทชาดกที่  ๘~~0188
๙.  วัฏฏกชาดก~~0194
ว่าด้วยการทำให้เกิดความสุข~~0194
อรรถกถาวัฏฏกชาดกที่  ๙~~0195
๑๐.  มณิชาดก~~0200
ว่าด้วยแก้วมณี~~0200
อรรถกถามณิชาดกที่  ๑๐~~0201
สัตตกนิบาตชาดก~~0206
๑.  กุกกุวรรค~~0206
๑.  กุกกุชาดก~~0206
ว่าด้วยปฏิปทาของพระราชาผู้เป็นบัณฑิต~~0206
อรรถกถากุกกุชาดกที่  ๑~~0208
๒.  มโนชชาดก~~0216
ว่าด้วยคบคนชั่วไม่ได้ความสุขยั่งยืน~~0216
อรรถกถามโนชชาดกที่  ๒~~0217
๓.  สุตนชาดก~~0224
ว่าด้วยเสียเพื่อได้~~0224
อรรถกถาสุตนชาดกที่  ๓~~0225
๔.  คิชฌชาดก~~0236
ว่าด้วยเมื่อถึงคราวพินาศความคิดย่อมวิบัติ~~0236
อรรถกถาคิชฌชาดกที่  ๔~~0237
๕.  ทัพพปุปผชาดก~~0241
ว่าด้วยโทษของการโต้เถียงกัน~~0241
อรรถกถาทัพพปุปผชาดกที่  ๕~~0243
๖.  ทสัณณกชาดก~~0253
ว่าด้วยให้แล้วไม่เดือดร้อนภายหลังทำได้ยาก~~0253
อรรถกถาทสัณณกชาดกที่  ๖~~0255
๗.  เสนกชาดก~~0266
ว่าด้วยผู้มีปัญญาช่วยคนอื่นได้~~0266
อรรถกถาเสนกชาดกที่  ๗~~0268
๘.  อัฏฐิเสนชาดก~~0286
ว่าด้วยการขอ~~0286
อรรถกถาอัฏฐิเสนชาดกที่  ๘~~0287
๙.  กปิชาดก~~0297
ว่าด้วยคุณธรรมของผู้บริหารคณะ~~0297
อรรถกถาปิชาดกที่  ๙~~0298
๑๐.  พกพรหมชาดก~~0305
ว่าด้วยศีลและพรตของพกพรหม~~0305
อรรถกถาพกพรหมชาดกที่ ๑๐~~0307
๒.  คันธารวรรค~~0319
๑.  คันธารชาดก~~0319
ว่าด้วยพูดคำมีประโยชน์เขาโกรธไม่ควรกล่าว~~0319
อรรถกถาคันธารชาดกที่  ๑~~0320
๒.  มหากปิชาดก~~0332
ว่าด้วยคุณธรรมของหัวหน้า~~0332
อรรถกถามหากปิชาดก ๒~~0333
๓.  กุมภการชาดก~~0344
ว่าด้วยเหตุให้ประพฤติภิกขาจาริยวัตร~~0344
อรรถกถากุมภการชาดกที่  ๓~~0346
๔.  ทัฬหธัมมชาดก~~0362
ว่าด้วยความกตัญญู~~0362
อรรถกถาทัฬหธัมมชาดกที่  ๔~~0363
๕.   โสมทัตตชาดก~~0373
ว่าด้วยความเศร้าโศกถึงผู้เป็นที่รัก~~0373
อรรถกถาโสมทัตตชาดกที่  ๕~~0375
๖.  สุสีมชาดก~~0381
ว่าด้วยพระเจ้าสุสีมะออกบวช~~0381
อรรถกถาสุสีมชาดกที่  ๖~~0383
๗.  โกฏสิมพลิชาดก~~0395
ว่าด้วยการระวังภัยที่ยังไม่มาถึง~~0395
อรรถกถาโกฏสิมพลิชาดกที่  ๗~~0396
๘.  ธูมการิชาดก~~0402
